2007-06-30,72,48
2007-07-06,80,63
2011-03-02,74,75
2011-05-03,77,43
2013-09-24,71,41
2009-02-21,94,40
2006-02-01,95,44
2007-07-13,59,66
2012-11-29,80,80
2013-11-01,95,43
2009-06-11,73,83
2007-01-31,95,54
2007-03-29,90,36
2013-07-20,98,63
2009-07-01,67,100
2007-01-11,76,49
2012-05-19,50,56
2010-05-13,98,50
2010-08-15,69,71
2009-05-07,77,58
2005-03-29,72,93
2013-09-20,68,70
2011-10-25,55,82
2005-12-11,95,69
2011-11-03,71,56
2008-08-25,84,70
2009-08-10,58,92
2009-08-13,53,82
2012-12-26,77,86
2010-02-06,93,73
2010-04-02,67,57
2010-06-06,57,53
2009-01-03,92,87
2005-10-24,96,61
2008-12-23,68,62
2006-08-25,91,71
2013-07-01,53,49
2010-06-25,80,49
2013-05-20,78,57
2010-11-04,66,86
2007-06-02,77,42
2009-06-16,82,65
2013-09-26,59,34
2007-03-29,78,68
2010-11-19,76,36
2007-08-04,85,61
2009-05-07,89,71
2006-01-28,52,58
2008-10-06,98,55
2007-06-07,69,39
2011-05-05,57,94
2011-07-29,58,85
2006-12-08,64,85
2009-04-30,75,39
2012-07-03,62,55
2010-11-13,68,41
2013-07-24,54,41
2013-03-07,98,32
2007-12-28,83,89
2012-07-23,53,44
2005-05-04,78,38
2010-11-02,92,41
2013-04-30,63,53
2008-12-18,99,72
2013-08-14,89,86
2009-02-15,79,87
2006-06-28,69,71
2012-06-22,98,72
2005-09-12,83,87
2006-06-03,100,96
2005-11-21,97,50
2009-12-16,87,91
2006-11-25,79,95
2011-03-23,77,98
2007-01-13,62,60
2006-10-06,88,74
2012-08-16,76,65
2011-07-27,75,99
2013-05-29,85,31
2013-06-27,74,43
2011-10-23,70,50
2005-08-19,69,57
2006-09-18,84,76
2011-06-04,98,89
2013-06-08,69,100
2008-11-29,68,61
2005-05-04,61,46
2008-12-08,53,41
2011-01-11,94,40
2012-04-07,50,49
2006-07-07,55,34
2010-05-06,90,71
2005-02-16,54,83
2012-01-12,52,84
2008-04-10,99,43
2007-12-15,74,48
2007-08-05,77,64
2010-06-17,68,61
2009-12-07,97,88
2011-03-26,79,49
2012-11-12,94,61
2007-07-19,65,97
2005-05-22,58,49
2007-03-07,59,83
2006-08-02,88,30
2012-05-09,50,92
2010-03-25,86,85
2006-10-14,71,62
2008-08-04,69,77
2007-06-19,58,71
2012-03-24,60,41
2012-08-08,74,78
2011-03-13,68,100
2008-12-31,89,40
2010-11-10,79,78
2006-05-29,61,44
2007-10-13,50,66
2013-12-01,89,75
2011-10-17,87,54
2012-09-05,93,74
2009-01-17,85,40
2011-09-27,72,50
2007-05-30,77,74
2007-08-05,79,39
2011-09-01,65,42
2011-04-22,62,93
2013-01-03,93,43
2008-05-18,81,51
2010-05-23,86,66
2011-10-07,70,63
2011-08-07,92,93
2006-02-14,100,79
2012-10-04,81,79
2013-12-12,69,35
2012-12-16,91,64
2010-04-15,94,53
2010-02-22,62,52
2006-07-25,89,69
2007-09-09,77,93
2008-09-26,62,77
2013-10-25,79,38
2007-10-26,91,92
2006-11-26,85,47
2008-08-28,93,59
2012-09-01,52,97
2010-04-20,79,65
2010-10-22,88,61
2010-10-13,51,46
2012-05-08,56,66
2010-01-05,66,73
2005-02-05,54,47
2012-01-31,60,40
2005-09-18,50,69
2011-03-17,73,85
2010-01-17,71,64
2008-11-21,60,74
2005-05-05,52,82
2008-07-16,81,85
2008-11-15,71,90
2013-04-29,61,74
2011-02-15,79,64
2005-08-15,51,38
2009-02-24,74,65
2010-05-09,52,83
2013-06-23,90,37
2008-07-05,52,72
2012-11-12,55,86
2008-05-15,90,92
2005-02-28,82,56
2005-09-26,61,37
2005-05-29,92,87
2006-12-15,61,34
2009-10-31,52,99
2010-10-15,76,92
2007-08-15,53,56
2005-01-03,85,87
2007-04-01,75,50
2008-11-24,75,45
2008-01-23,59,67
2005-10-22,74,99
2007-07-03,94,71
2009-08-29,72,47
2013-10-21,55,38
2006-09-24,54,52
2013-05-05,87,61
2011-09-10,77,98
2008-11-14,82,39
2005-12-01,54,95
2006-10-12,68,90
2011-02-10,56,33
2010-10-30,51,65
2013-10-11,83,96
2007-01-07,59,92
2007-04-15,100,32
2011-07-03,96,88
2012-04-16,95,48
2013-02-23,93,96
2010-06-17,83,40
2008-09-17,53,59
2008-05-08,92,66
2007-04-21,60,79
2009-07-09,65,33
2005-01-28,77,92
2012-07-17,64,76
2012-07-31,52,94
2007-09-25,55,73
2011-03-12,92,93
2012-03-30,94,44
2009-07-30,97,48
2010-10-03,93,92
2005-01-19,64,77
2005-01-09,66,64
2006-07-16,85,63
2006-03-28,96,30
2008-05-17,88,91
2010-10-25,91,75
2010-04-11,65,94
